"","id","site","sex","age","viewcat","setting","viewenc","prebody","prelet","preform","prenumb","prerelat","preclasf","postbody","postlet","postform","postnumb","postrelat","postclasf","peabody","agecat","encour","regular","prebody_p","postbody_p","prelet_p","postlet_p","preform_p","postform_p","prenumb_p","postnumb_p","prerelat_p","postrelat_p","preclasf_p","postclasf_p","improve_body","improve_let","improve_form","improve_numb","improve_relat","improve_clasf","body_betatransf","let_betatransf","form_betatransf","numb_betatransf","relat_betatransf","clasf_betatransf","peabody_log"
"11",11,"disadv_city","female",58,"once_twice","school","not_encouraged",25,48,14,38,16,18,26,52,15,42,10,17,43,1,0,1,78.125,81.25,82.7586206896552,89.6551724137931,70,75,70.3703703703704,77.7777777777778,94.1176470588235,58.8235294117647,75,70.8333333333333,3.125,6.89655172413794,5,7.4074074074074,-35.2941176470588,-4.16666666666667,0.515625,0.53448275862069,0.525,0.537037037037037,0.323529411764706,0.479166666666667,3.76120011569356
"12",12,"disadv_city","female",58,"over_five","school","not_encouraged",21,25,13,29,16,21,17,29,15,40,10,19,58,1,0,1,65.625,53.125,43.1034482758621,50,65,75,53.7037037037037,74.0740740740741,94.1176470588235,58.8235294117647,87.5,79.1666666666667,-12.5,6.89655172413793,10,20.3703703703704,-35.2941176470588,-8.33333333333333,0.4375,0.53448275862069,0.55,0.601851851851852,0.323529411764706,0.458333333333333,4.06044301054642
"13",13,"disadv_city","female",49,"rare","school","not_encouraged",28,8,9,13,8,12,20,16,9,18,10,13,39,0,0,0,87.5,62.5,13.7931034482759,27.5862068965517,45,45,24.0740740740741,33.3333333333333,47.0588235294118,58.8235294117647,50,54.1666666666667,-25,13.7931034482759,0,9.25925925925926,11.7647058823529,4.16666666666666,0.375,0.568965517241379,0.5,0.546296296296296,0.558823529411765,0.520833333333333,3.66356164612965
"14",14,"disadv_city","male",64,"once_twice","school","encouraged",26,11,15,21,10,15,26,28,15,35,16,14,43,1,1,1,81.25,81.25,18.9655172413793,48.2758620689655,75,75,38.8888888888889,64.8148148148148,58.8235294117647,94.1176470588235,62.5,58.3333333333333,0,29.3103448275862,0,25.9259259259259,35.2941176470588,-4.16666666666666,0.5,0.646551724137931,0.5,0.62962962962963,0.676470588235294,0.479166666666667,3.76120011569356
"15",15,"disadv_city","female",58,"once_twice","school","encouraged",23,15,9,16,9,11,28,21,10,22,10,17,56,1,1,1,71.875,87.5,25.8620689655172,36.2068965517241,45,50,29.6296296296296,40.7407407407407,52.9411764705882,58.8235294117647,45.8333333333333,70.8333333333333,15.625,10.3448275862069,5,11.1111111111111,5.88235294117647,25,0.578125,0.551724137931034,0.525,0.555555555555556,0.529411764705882,0.625,4.02535169073515
"16",16,"disadv_city","male",49,"three_five","school","encouraged",25,12,17,24,12,18,28,45,14,45,13,21,37,0,1,1,78.125,87.5,20.6896551724138,77.5862068965517,85,70,44.4444444444444,83.3333333333333,70.5882352941177,76.4705882352941,75,87.5,9.375,56.8965517241379,-15,38.8888888888889,5.88235294117646,12.5,0.546875,0.78448275862069,0.425,0.694444444444444,0.529411764705882,0.5625,3.61091791264422
"17",17,"disadv_city","male",57,"once_twice","school","encouraged",25,15,13,16,10,18,25,24,16,28,8,18,43,1,1,1,78.125,78.125,25.8620689655172,41.3793103448276,65,80,29.6296296296296,51.8518518518519,58.8235294117647,47.0588235294118,75,75,0,15.5172413793103,15,22.2222222222222,-11.7647058823529,0,0.5,0.577586206896552,0.575,0.611111111111111,0.441176470588235,0.5,3.76120011569356
"18",18,"disadv_city","male",45,"over_five","school","encouraged",16,12,8,11,6,3,25,16,11,17,9,9,29,0,1,1,50,78.125,20.6896551724138,27.5862068965517,40,55,20.3703703703704,31.4814814814815,35.2941176470588,52.9411764705882,12.5,37.5,28.125,6.89655172413793,15,11.1111111111111,17.6470588235294,25,0.640625,0.53448275862069,0.575,0.555555555555556,0.588235294117647,0.625,3.36729582998647
"19",19,"disadv_city","male",45,"three_five","school","encouraged",25,16,12,23,10,13,32,46,18,35,14,19,45,0,1,1,78.125,100,27.5862068965517,79.3103448275862,60,90,42.5925925925926,64.8148148148148,58.8235294117647,82.3529411764706,54.1666666666667,79.1666666666667,21.875,51.7241379310345,30,22.2222222222222,23.5294117647059,25,0.609375,0.758620689655172,0.65,0.611111111111111,0.61764705882353,0.625,3.80666248977032
"20",20,"disadv_city","male",60,"three_five","school","not_encouraged",19,19,8,23,14,10,28,50,12,38,12,13,51,1,0,1,59.375,87.5,32.7586206896552,86.2068965517241,40,60,42.5925925925926,70.3703703703704,82.3529411764706,70.5882352941177,41.6666666666667,54.1666666666667,28.125,53.448275862069,20,27.7777777777778,-11.7647058823529,12.5,0.640625,0.767241379310345,0.6,0.638888888888889,0.441176470588235,0.5625,3.93182563272433
"21",21,"disadv_city","female",65,"over_five","school","encouraged",29,24,14,41,10,23,29,48,20,51,15,24,55,1,1,1,90.625,90.625,41.3793103448276,82.7586206896552,70,100,75.9259259259259,94.4444444444444,58.8235294117647,88.2352941176471,95.8333333333333,100,0,41.3793103448276,30,18.5185185185185,29.4117647058824,4.16666666666667,0.5,0.706896551724138,0.65,0.592592592592593,0.647058823529412,0.520833333333333,4.00733318523247
"22",22,"disadv_city","male",44,"over_five","home","encouraged",25,15,17,22,11,16,32,42,19,45,15,19,49,0,1,1,78.125,100,25.8620689655172,72.4137931034483,85,95,40.7407407407407,83.3333333333333,64.7058823529412,88.2352941176471,66.6666666666667,79.1666666666667,21.875,46.551724137931,10,42.5925925925926,23.5294117647059,12.5,0.609375,0.732758620689655,0.55,0.712962962962963,0.61764705882353,0.5625,3.89182029811063
"23",23,"disadv_city","female",38,"three_five","home","encouraged",20,9,2,7,8,9,22,23,17,19,15,14,31,0,1,1,62.5,68.75,15.5172413793103,39.6551724137931,10,85,12.962962962963,35.1851851851852,47.0588235294118,88.2352941176471,37.5,58.3333333333333,6.25,24.1379310344828,75,22.2222222222222,41.1764705882353,20.8333333333333,0.53125,0.620689655172414,0.875,0.611111111111111,0.705882352941176,0.604166666666667,3.43398720448515
"24",24,"disadv_city","male",35,"over_five","home","encouraged",11,6,8,16,8,9,22,27,16,20,14,15,40,0,1,1,34.375,68.75,10.3448275862069,46.551724137931,40,80,29.6296296296296,37.037037037037,47.0588235294118,82.3529411764706,37.5,62.5,34.375,36.2068965517241,40,7.40740740740741,35.2941176470588,25,0.671875,0.681034482758621,0.7,0.537037037037037,0.676470588235294,0.625,3.68887945411394
"25",25,"disadv_city","female",42,"once_twice","home","encouraged",15,7,8,11,12,7,14,13,7,21,12,10,48,0,1,1,46.875,43.75,12.0689655172414,22.4137931034483,40,35,20.3703703703704,38.8888888888889,70.5882352941177,70.5882352941177,29.1666666666667,41.6666666666667,-3.125,10.3448275862069,-5,18.5185185185185,0,12.5,0.484375,0.551724137931034,0.475,0.592592592592593,0.5,0.5625,3.87120101090789
"26",26,"disadv_city","female",50,"once_twice","home","encouraged",26,14,10,36,13,17,25,18,14,42,13,18,35,0,1,1,81.25,78.125,24.1379310344828,31.0344827586207,50,70,66.6666666666667,77.7777777777778,76.4705882352941,76.4705882352941,70.8333333333333,75,-3.125,6.89655172413793,20,11.1111111111111,0,4.16666666666667,0.484375,0.53448275862069,0.6,0.555555555555555,0.5,0.520833333333333,3.55534806148941
"27",27,"disadv_city","male",61,"over_five","school","not_encouraged",28,42,16,40,16,11,24,27,15,20,14,14,62,1,0,1,87.5,75,72.4137931034483,46.551724137931,80,75,74.0740740740741,37.037037037037,94.1176470588235,82.3529411764706,45.8333333333333,58.3333333333333,-12.5,-25.8620689655172,-5,-37.037037037037,-11.7647058823529,12.5,0.4375,0.370689655172414,0.475,0.314814814814815,0.441176470588235,0.5625,4.12713438504509
"28",28,"disadv_city","female",34,"over_five","home","encouraged",17,13,7,10,5,11,21,17,13,13,10,15,42,0,1,1,53.125,65.625,22.4137931034483,29.3103448275862,35,65,18.5185185185185,24.0740740740741,29.4117647058824,58.8235294117647,45.8333333333333,62.5,12.5,6.89655172413793,30,5.55555555555555,29.4117647058824,16.6666666666667,0.5625,0.53448275862069,0.65,0.527777777777778,0.647058823529412,0.583333333333333,3.73766961828337
"29",29,"disadv_city","male",60,"three_five","home","not_encouraged",23,13,9,23,11,14,28,20,18,45,14,21,58,1,0,1,71.875,87.5,22.4137931034483,34.4827586206897,45,90,42.5925925925926,83.3333333333333,64.7058823529412,82.3529411764706,58.3333333333333,87.5,15.625,12.0689655172414,45,40.7407407407407,17.6470588235294,29.1666666666667,0.578125,0.560344827586207,0.725,0.703703703703704,0.588235294117647,0.645833333333333,4.06044301054642
"30",30,"disadv_city","female",39,"once_twice","home","encouraged",11,5,5,5,5,1,27,15,13,9,8,12,29,0,1,1,34.375,84.375,8.62068965517241,25.8620689655172,25,65,9.25925925925926,16.6666666666667,29.4117647058824,47.0588235294118,4.16666666666667,50,50,17.2413793103448,40,7.40740740740741,17.6470588235294,45.8333333333333,0.75,0.586206896551724,0.7,0.537037037037037,0.588235294117647,0.729166666666667,3.36729582998647
"31",31,"disadv_city","male",39,"three_five","home","encouraged",24,4,11,25,11,17,21,11,12,13,9,10,49,0,1,1,75,65.625,6.89655172413793,18.9655172413793,55,60,46.2962962962963,24.0740740740741,64.7058823529412,52.9411764705882,70.8333333333333,41.6666666666667,-9.375,12.0689655172414,5,-22.2222222222222,-11.7647058823529,-29.1666666666667,0.453125,0.560344827586207,0.525,0.388888888888889,0.441176470588235,0.354166666666667,3.89182029811063
"32",32,"disadv_city","female",41,"once_twice","home","encouraged",24,8,3,14,8,8,21,17,10,18,9,14,30,0,1,1,75,65.625,13.7931034482759,29.3103448275862,15,50,25.9259259259259,33.3333333333333,47.0588235294118,52.9411764705882,33.3333333333333,58.3333333333333,-9.375,15.5172413793103,35,7.40740740740741,5.88235294117646,25,0.453125,0.577586206896552,0.675,0.537037037037037,0.529411764705882,0.625,3.40119738166216
"33",33,"disadv_city","female",55,"three_five","home","encouraged",31,15,17,45,16,24,32,43,18,46,13,21,62,1,1,1,96.875,100,25.8620689655172,74.1379310344828,85,90,83.3333333333333,85.1851851851852,94.1176470588235,76.4705882352941,100,87.5,3.125,48.2758620689655,5,1.85185185185186,-17.6470588235294,-12.5,0.515625,0.741379310344828,0.525,0.509259259259259,0.411764705882353,0.4375,4.12713438504509
"34",34,"disadv_city","female",42,"three_five","home","encouraged",23,11,7,15,6,7,29,27,14,33,9,19,58,0,1,1,71.875,90.625,18.9655172413793,46.551724137931,35,70,27.7777777777778,61.1111111111111,35.2941176470588,52.9411764705882,29.1666666666667,79.1666666666667,18.75,27.5862068965517,35,33.3333333333333,17.6470588235294,50,0.59375,0.637931034482759,0.675,0.666666666666667,0.588235294117647,0.75,4.06044301054642
"35",35,"disadv_city","male",50,"over_five","home","encouraged",18,17,12,28,12,17,29,41,15,48,12,22,55,0,1,1,56.25,90.625,29.3103448275862,70.6896551724138,60,75,51.8518518518519,88.8888888888889,70.5882352941177,70.5882352941177,70.8333333333333,91.6666666666667,34.375,41.3793103448276,15,37.037037037037,0,20.8333333333333,0.671875,0.706896551724138,0.575,0.685185185185185,0.5,0.604166666666667,4.00733318523247
"36",36,"disadv_city","male",58,"once_twice","home","encouraged",13,12,6,10,6,11,29,23,11,27,8,10,33,1,1,1,40.625,90.625,20.6896551724138,39.6551724137931,30,55,18.5185185185185,50,35.2941176470588,47.0588235294118,45.8333333333333,41.6666666666667,50,18.9655172413793,25,31.4814814814815,11.7647058823529,-4.16666666666667,0.75,0.594827586206897,0.625,0.657407407407407,0.558823529411765,0.479166666666667,3.49650756146648
"37",37,"disadv_city","female",59,"three_five","home","not_encouraged",27,7,13,23,12,10,32,39,18,49,16,19,55,1,0,1,84.375,100,12.0689655172414,67.2413793103448,65,90,42.5925925925926,90.7407407407407,70.5882352941177,94.1176470588235,41.6666666666667,79.1666666666667,15.625,55.1724137931034,25,48.1481481481482,23.5294117647059,37.5,0.578125,0.775862068965517,0.625,0.740740740740741,0.61764705882353,0.6875,4.00733318523247
"38",38,"disadv_city","female",36,"rare","home","not_encouraged",11,12,9,5,5,3,12,12,6,13,9,6,27,0,0,0,34.375,37.5,20.6896551724138,20.6896551724138,45,30,9.25925925925926,24.0740740740741,29.4117647058824,52.9411764705882,12.5,25,3.125,0,-15,14.8148148148148,23.5294117647059,12.5,0.515625,0.5,0.425,0.574074074074074,0.61764705882353,0.5625,3.29583686600433
"39",39,"disadv_city","male",51,"once_twice","home","encouraged",32,16,16,34,15,17,21,17,6,21,8,12,62,0,1,1,100,65.625,27.5862068965517,29.3103448275862,80,30,62.962962962963,38.8888888888889,88.2352941176471,47.0588235294118,70.8333333333333,50,-34.375,1.72413793103448,-50,-24.0740740740741,-41.1764705882353,-20.8333333333333,0.328125,0.508620689655172,0.25,0.37962962962963,0.294117647058824,0.395833333333333,4.12713438504509
"40",40,"disadv_city","male",51,"once_twice","home","encouraged",31,18,13,33,15,14,21,16,11,7,9,11,58,0,1,1,96.875,65.625,31.0344827586207,27.5862068965517,65,55,61.1111111111111,12.962962962963,88.2352941176471,52.9411764705882,58.3333333333333,45.8333333333333,-31.25,-3.44827586206897,-10,-48.1481481481482,-35.2941176470588,-12.5,0.34375,0.482758620689655,0.45,0.259259259259259,0.323529411764706,0.4375,4.06044301054642
"41",41,"disadv_city","male",48,"three_five","home","encouraged",13,14,8,8,10,11,21,22,10,28,8,19,34,0,1,1,40.625,65.625,24.1379310344828,37.9310344827586,40,50,14.8148148148148,51.8518518518519,58.8235294117647,47.0588235294118,45.8333333333333,79.1666666666667,25,13.7931034482759,10,37.037037037037,-11.7647058823529,33.3333333333333,0.625,0.568965517241379,0.55,0.685185185185185,0.441176470588235,0.666666666666667,3.52636052461616
"42",42,"disadv_city","male",43,"once_twice","home","encouraged",17,13,14,13,11,14,24,19,12,22,11,20,32,0,1,1,53.125,75,22.4137931034483,32.7586206896552,70,60,24.0740740740741,40.7407407407407,64.7058823529412,64.7058823529412,58.3333333333333,83.3333333333333,21.875,10.3448275862069,-10,16.6666666666667,0,25,0.609375,0.551724137931034,0.45,0.583333333333333,0.5,0.625,3.46573590279973
"43",43,"disadv_city","female",35,"three_five","home","not_encouraged",23,12,8,9,5,5,29,11,8,9,11,11,32,0,0,1,71.875,90.625,20.6896551724138,18.9655172413793,40,40,16.6666666666667,16.6666666666667,29.4117647058824,64.7058823529412,20.8333333333333,45.8333333333333,18.75,-1.72413793103448,0,0,35.2941176470588,25,0.59375,0.491379310344828,0.5,0.5,0.676470588235294,0.625,3.46573590279973
"44",44,"disadv_city","female",36,"rare","home","not_encouraged",11,2,6,5,2,4,21,6,11,6,6,7,28,0,0,0,34.375,65.625,3.44827586206897,10.3448275862069,30,55,9.25925925925926,11.1111111111111,11.7647058823529,35.2941176470588,16.6666666666667,29.1666666666667,31.25,6.89655172413793,25,1.85185185185185,23.5294117647059,12.5,0.65625,0.53448275862069,0.625,0.509259259259259,0.61764705882353,0.5625,3.3322045101752
"45",45,"disadv_city","female",39,"once_twice","home","not_encouraged",20,18,6,4,4,6,19,8,11,22,10,10,29,0,0,1,62.5,59.375,31.0344827586207,13.7931034482759,30,55,7.40740740740741,40.7407407407407,23.5294117647059,58.8235294117647,25,41.6666666666667,-3.125,-17.2413793103448,25,33.3333333333333,35.2941176470588,16.6666666666667,0.484375,0.413793103448276,0.625,0.666666666666667,0.676470588235294,0.583333333333333,3.36729582998647
"46",46,"disadv_city","male",45,"over_five","home","not_encouraged",14,13,9,16,9,12,29,48,17,48,14,19,35,0,0,1,43.75,90.625,22.4137931034483,82.7586206896552,45,85,29.6296296296296,88.8888888888889,52.9411764705882,82.3529411764706,50,79.1666666666667,46.875,60.3448275862069,40,59.2592592592593,29.4117647058824,29.1666666666667,0.734375,0.801724137931034,0.7,0.796296296296296,0.647058823529412,0.645833333333333,3.55534806148941
"47",47,"disadv_city","male",58,"three_five","home","not_encouraged",30,38,15,45,14,18,32,48,19,46,14,23,67,1,0,1,93.75,100,65.5172413793103,82.7586206896552,75,95,83.3333333333333,85.1851851851852,82.3529411764706,82.3529411764706,75,95.8333333333333,6.25,17.2413793103448,20,1.85185185185186,0,20.8333333333333,0.53125,0.586206896551724,0.6,0.509259259259259,0.5,0.604166666666667,4.20469261939097
"48",48,"disadv_city","female",38,"three_five","home","encouraged",13,10,7,8,5,7,26,36,14,20,10,16,29,0,1,1,40.625,81.25,17.2413793103448,62.0689655172414,35,70,14.8148148148148,37.037037037037,29.4117647058824,58.8235294117647,29.1666666666667,66.6666666666667,40.625,44.8275862068966,35,22.2222222222222,29.4117647058824,37.5,0.703125,0.724137931034483,0.675,0.611111111111111,0.647058823529412,0.6875,3.36729582998647
"49",49,"disadv_city","female",57,"over_five","home","encouraged",26,15,11,22,10,15,24,20,18,28,12,18,35,1,1,1,81.25,75,25.8620689655172,34.4827586206897,55,90,40.7407407407407,51.8518518518519,58.8235294117647,70.5882352941177,62.5,75,-6.25,8.62068965517242,35,11.1111111111111,11.7647058823529,12.5,0.46875,0.543103448275862,0.675,0.555555555555556,0.558823529411765,0.5625,3.55534806148941
"50",50,"disadv_city","male",49,"three_five","home","not_encouraged",26,35,10,47,13,17,26,13,7,12,11,14,67,0,0,1,81.25,81.25,60.3448275862069,22.4137931034483,50,35,87.037037037037,22.2222222222222,76.4705882352941,64.7058823529412,70.8333333333333,58.3333333333333,0,-37.9310344827586,-15,-64.8148148148148,-11.7647058823529,-12.5,0.5,0.310344827586207,0.425,0.175925925925926,0.441176470588235,0.4375,4.20469261939097
"51",51,"disadv_city","male",55,"rare","school","not_encouraged",24,11,10,18,8,10,20,10,14,23,10,10,39,1,0,0,75,62.5,18.9655172413793,17.2413793103448,50,70,33.3333333333333,42.5925925925926,47.0588235294118,58.8235294117647,41.6666666666667,41.6666666666667,-12.5,-1.72413793103448,20,9.25925925925926,11.7647058823529,0,0.4375,0.491379310344828,0.6,0.546296296296296,0.558823529411765,0.5,3.66356164612965
"52",52,"disadv_city","female",44,"over_five","school","not_encouraged",25,39,18,41,9,21,30,47,20,50,11,23,90,0,0,1,78.125,93.75,67.2413793103448,81.0344827586207,90,100,75.9259259259259,92.5925925925926,52.9411764705882,64.7058823529412,87.5,95.8333333333333,15.625,13.7931034482759,10,16.6666666666667,11.7647058823529,8.33333333333333,0.578125,0.568965517241379,0.55,0.583333333333333,0.558823529411765,0.541666666666667,4.49980967033027
"53",53,"disadv_city","male",56,"rare","school","not_encouraged",13,11,6,15,10,11,15,13,9,13,10,6,46,1,0,0,40.625,46.875,18.9655172413793,22.4137931034483,30,45,27.7777777777778,24.0740740740741,58.8235294117647,58.8235294117647,45.8333333333333,25,6.25,3.44827586206897,15,-3.70370370370371,0,-20.8333333333333,0.53125,0.517241379310345,0.575,0.481481481481481,0.5,0.395833333333333,3.8286413964891
"54",54,"disadv_city","female",48,"once_twice","school","not_encouraged",17,11,9,14,8,9,26,32,15,27,11,11,39,0,0,1,53.125,81.25,18.9655172413793,55.1724137931034,45,75,25.9259259259259,50,47.0588235294118,64.7058823529412,37.5,45.8333333333333,28.125,36.2068965517241,30,24.0740740740741,17.6470588235294,8.33333333333334,0.640625,0.681034482758621,0.65,0.62037037037037,0.588235294117647,0.541666666666667,3.66356164612965
"55",55,"disadv_city","male",50,"once_twice","school","not_encouraged",16,10,8,9,7,6,21,15,17,17,12,15,34,0,0,1,50,65.625,17.2413793103448,25.8620689655172,40,85,16.6666666666667,31.4814814814815,41.1764705882353,70.5882352941177,25,62.5,15.625,8.62068965517241,45,14.8148148148148,29.4117647058824,37.5,0.578125,0.543103448275862,0.725,0.574074074074074,0.647058823529412,0.6875,3.52636052461616
"56",56,"disadv_city","male",52,"rare","school","not_encouraged",16,15,6,13,11,13,19,14,14,18,7,16,38,1,0,0,50,59.375,25.8620689655172,24.1379310344828,30,70,24.0740740740741,33.3333333333333,64.7058823529412,41.1764705882353,54.1666666666667,66.6666666666667,9.375,-1.72413793103448,40,9.25925925925926,-23.5294117647059,12.5,0.546875,0.491379310344828,0.7,0.546296296296296,0.382352941176471,0.5625,3.63758615972639
"57",57,"disadv_city","female",51,"once_twice","school","encouraged",24,14,10,20,10,17,28,21,17,36,19,17,34,0,1,1,75,87.5,24.1379310344828,36.2068965517241,50,85,37.037037037037,66.6666666666667,58.8235294117647,111.764705882353,70.8333333333333,70.8333333333333,12.5,12.0689655172414,35,29.6296296296296,52.9411764705882,0,0.5625,0.560344827586207,0.675,0.648148148148148,0.764705882352941,0.5,3.52636052461616
"58",58,"disadv_city","female",58,"rare","school","not_encouraged",25,17,17,23,14,15,25,16,19,28,4,20,37,1,0,0,78.125,78.125,29.3103448275862,27.5862068965517,85,95,42.5925925925926,51.8518518518519,82.3529411764706,23.5294117647059,62.5,83.3333333333333,0,-1.72413793103448,10,9.25925925925926,-58.8235294117647,20.8333333333333,0.5,0.491379310344828,0.55,0.546296296296296,0.205882352941176,0.604166666666667,3.61091791264422
"59",59,"disadv_city","female",48,"three_five","school","not_encouraged",13,10,10,13,9,7,27,15,14,23,11,12,33,0,0,1,40.625,84.375,17.2413793103448,25.8620689655172,50,70,24.0740740740741,42.5925925925926,52.9411764705882,64.7058823529412,29.1666666666667,50,43.75,8.62068965517241,20,18.5185185185185,11.7647058823529,20.8333333333333,0.71875,0.543103448275862,0.6,0.592592592592593,0.558823529411765,0.604166666666667,3.49650756146648
"60",60,"disadv_city","male",54,"over_five","school","not_encouraged",16,13,10,10,9,7,19,20,14,19,12,11,36,1,0,1,50,59.375,22.4137931034483,34.4827586206897,50,70,18.5185185185185,35.1851851851852,52.9411764705882,70.5882352941177,29.1666666666667,45.8333333333333,9.375,12.0689655172414,20,16.6666666666667,17.6470588235294,16.6666666666667,0.546875,0.560344827586207,0.6,0.583333333333333,0.588235294117647,0.583333333333333,3.58351893845611
"61",61,"adv_suburb","male",52,"over_five","school","not_encouraged",20,35,15,21,8,20,27,48,19,47,15,22,49,1,0,1,62.5,84.375,60.3448275862069,82.7586206896552,75,95,38.8888888888889,87.037037037037,47.0588235294118,88.2352941176471,83.3333333333333,91.6666666666667,21.875,22.4137931034483,20,48.1481481481482,41.1764705882353,8.33333333333334,0.609375,0.612068965517241,0.6,0.740740740740741,0.705882352941176,0.541666666666667,3.89182029811063
"62",62,"adv_suburb","female",48,"rare","school","not_encouraged",20,12,11,13,7,11,28,19,17,17,11,17,53,0,0,0,62.5,87.5,20.6896551724138,32.7586206896552,55,85,24.0740740740741,31.4814814814815,41.1764705882353,64.7058823529412,45.8333333333333,70.8333333333333,25,12.0689655172414,30,7.40740740740741,23.5294117647059,25,0.625,0.560344827586207,0.65,0.537037037037037,0.61764705882353,0.625,3.97029191355212
"63",63,"adv_suburb","male",55,"over_five","school","not_encouraged",28,13,10,29,11,12,30,31,19,45,15,22,65,1,0,1,87.5,93.75,22.4137931034483,53.448275862069,50,95,53.7037037037037,83.3333333333333,64.7058823529412,88.2352941176471,50,91.6666666666667,6.25,31.0344827586207,45,29.6296296296296,23.5294117647059,41.6666666666667,0.53125,0.655172413793103,0.725,0.648148148148148,0.61764705882353,0.708333333333333,4.17438726989564
